,City,State,MedianAge,MalePopulation,FemalePopulation,TotalPopulation,NumberofVeterans,Foreignborn,AverageHouseholdSize,StateCode,Asian,Black,Hispa,Native,White
0,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6,MD,8841.0,21330.0,25924.0,1084.0,37756.0
1,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,30473.0,3917.0,2566.0,351.0,58723.0
2,Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,4759.0,18191.0,3430.0,,61869.0
3,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,24519.0,24437.0,65823.0,2789.0,111832.0
4,Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,7349.0,144961.0,100432.0,2268.0,76402.0
5,Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,6989.0,36333.0,6874.0,1343.0,77074.0
6,Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,2828.0,11592.0,34716.0,613.0,62176.0
7,West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,32716.0,3693.0,58907.0,518.0,48046.0
8,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,3447.0,5136.0,2583.0,685.0,77049.0
9,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,11060.0,39369.0,11446.0,1181.0,58004.0
10,Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,15569.0,3985.0,5822.0,998.0,57435.0
11,Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,122721.0,691186.0,219038.0,17500.0,688130.0
12,Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,25210.0,52592.0,65162.0,8791.0,305910.0
13,Fort Myers,Florida,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45,FL,3519.0,17298.0,17866.0,,50169.0
14,Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,21227.0,82248.0,9266.0,2689.0,208863.0
15,Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,1963.0,832.0,243190.0,1253.0,246442.0
16,Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,27089.0,11255.0,15429.0,1868.0,82949.0
17,Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,58360.0,4580.0,22402.0,1354.0,55847.0
18,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,5691.0,19652.0,2.67,PA,2670.0,22304.0,59176.0,1076.0,74187.0
19,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,4561.0,70303.0,7513.0,2534.0,61753.0
20,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,9788.0,12671.0,16904.0,323.0,40458.0
21,Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,5711.0,13372.0,13065.0,1333.0,49181.0
22,Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,7915.0,4226.0,29159.0,2019.0,78737.0
23,Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,12653.0,9307.0,13970.0,1940.0,47757.0
24,Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,8668.0,3228.0,23355.0,1444.0,100084.0
25,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,7340.0,2679.0,33630.0,2597.0,139669.0
26,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,657.0,55137.0,2525.0,1508.0,44786.0
27,New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,7966.0,43356.0,43563.0,2205.0,56251.0
28,Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85,MN,14443.0,22550.0,4138.0,1173.0,41760.0
29,Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,48506.0,15641.0,156522.0,1652.0,183753.0
30,Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,7350.0,8454.0,25145.0,1086.0,55917.0
31,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,5993.0,6944.0,13000.0,849.0,52205.0
32,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,10893.0,67798.0,20483.0,2716.0,179121.0
33,Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,,85300.0,23287.0,,27273.0
34,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,13153.0,5365.0,40559.0,3488.0,150136.0
35,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72,VA,2248.0,39107.0,3539.0,504.0,46458.0
36,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,,30766.0,4860.0,713.0,34118.0
37,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,4992.0,3091.0,66525.0,1554.0,58201.0
38,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,512999.0,404868.0,1936732.0,63758.0,2177650.0
39,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,6577.0,3559.0,6149.0,1095.0,61433.0
40,Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,9273.0,18023.0,23395.0,3140.0,66825.0
41,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,6348.0,39445.0,16004.0,2338.0,104626.0
42,New Britain,Connecticut,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52,CT,2297.0,9873.0,30188.0,,56431.0
43,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,16318.0,72643.0,61217.0,42129.0,279127.0
44,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,121507.0,61974.0,43060.0,12804.0,511401.0
45,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,14608.0,22699.0,131425.0,16044.0,413010.0
46,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,13981.0,38731.0,73608.0,1112.0,129492.0
47,Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,1686.0,35237.0,41473.0,,19907.0
48,Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,13315.0,37168.0,25573.0,1133.0,106215.0
49,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,1282.0,14599.0,4614.0,2109.0,56626.0
50,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,33384.0,307.0,77523.0,718.0,64138.0
51,Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,7240.0,15458.0,16920.0,585.0,69857.0
52,Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,19105.0,64223.0,63516.0,6318.0,353417.0
53,Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,22721.0,5294.0,2400.0,1677.0,56175.0
54,Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,6484.0,87480.0,38321.0,1415.0,139301.0
55,Corpus Christi,Texas,35.0,160488.0,163594.0,324082,25078.0,30834.0,2.69,TX,9051.0,14978.0,200737.0,2972.0,292663.0
56,Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,24268.0,245367.0,18653.0,4606.0,196316.0
57,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,2688.0,11914.0,29647.0,3557.0,59742.0
58,Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,2910.0,23271.0,2689.0,1024.0,53727.0
59,Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,17821.0,30075.0,8033.0,488.0,58343.0
60,Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,8183.0,54601.0,32600.0,2362.0,75823.0
61,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,27355.0,188844.0,67526.0,5474.0,432447.0
62,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,9498.0,7140.0,8790.0,374.0,62927.0
63,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,31929.0,34240.0,180241.0,7357.0,272853.0
64,Montgomery,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,6518.0,121360.0,6648.0,1277.0,73545.0
65,Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,6566.0,61561.0,10887.0,1755.0,121904.0
66,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,12683.0,124108.0,22147.0,3688.0,144930.0
67,Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,5232.0,2307.0,23559.0,1187.0,59308.0
68,Lynwood,California,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43,CA,994.0,5346.0,63377.0,,48670.0
69,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,12370.0,34473.0,542017.0,7359.0,587683.0
70,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,14066.0,51493.0,21766.0,3187.0,249339.0
71,Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,1073.0,28204.0,2845.0,610.0,41652.0
72,Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,20724.0,13256.0,15762.0,1439.0,76116.0
73,Waco,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,4230.0,29883.0,40585.0,794.0,96958.0
74,San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,6547.0,1300.0,38463.0,2808.0,95139.0
75,Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,11013.0,24329.0,33197.0,1416.0,85620.0
76,Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,34753.0,26778.0,28977.0,1671.0,56169.0
77,Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,32491.0,72288.0,207847.0,14008.0,546370.0
78,Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,1422.0,1859.0,30200.0,547.0,56843.0
79,Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,12948.0,6815.0,45495.0,4790.0,44543.0
80,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,4691.0,3703.0,10267.0,251.0,79538.0
81,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,9205.0,18240.0,33250.0,1176.0,50652.0
82,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,5173.0,25767.0,13780.0,10027.0,63948.0
83,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,27217.0,40507.0,90989.0,3083.0,154484.0
84,Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,2889.0,2710.0,10123.0,1674.0,65333.0
85,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,6549.0,11240.0,3461.0,182.0,60652.0
86,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,15666.0,2925.0,4790.0,244.0,69380.0
87,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,2434.0,12369.0,17211.0,867.0,97195.0
88,Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,2729.0,17172.0,17769.0,158.0,44863.0
89,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,3266.0,3825.0,60614.0,2368.0,91201.0
90,Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,2248.0,924.0,44172.0,2042.0,79286.0
91,Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,15205.0,26353.0,25306.0,3964.0,168057.0
92,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,3688.0,14529.0,23061.0,1503.0,82860.0
93,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,3152.0,23578.0,6811.0,742.0,89270.0
94,Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,5978.0,8193.0,10418.0,839.0,64806.0
95,Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,8563.0,14050.0,65392.0,4260.0,174214.0
96,Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,14518.0,101254.0,29656.0,4406.0,130078.0
97,Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,2719.0,4633.0,1772.0,445.0,87383.0
98,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,34019.0,11100.0,26894.0,1540.0,40182.0
99,Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,75318.0,46072.0,256145.0,11380.0,325651.0
100,Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,1649.0,1376.0,10829.0,2406.0,71915.0
101,San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,,PR,2452.0,,335559.0,4031.0,
102,Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,6255.0,6973.0,19698.0,811.0,55241.0
103,Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,16134.0,3229.0,26754.0,2690.0,108375.0
104,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,2374.0,3970.0,38674.0,4857.0,73022.0
105,Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,4104.0,1062.0,16668.0,1916.0,108471.0
106,Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,10035.0,69135.0,13538.0,1368.0,112800.0
107,Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,17190.0,23736.0,86653.0,1179.0,115903.0
108,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,33854.0,89996.0,39981.0,9238.0,277862.0
109,Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,53270.0,9775.0,201593.0,2489.0,259820.0
110,San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,11519.0,4447.0,35164.0,821.0,72061.0
111,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,16189.0,5195.0,76020.0,1165.0,46998.0
112,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,42053.0,167449.0,296133.0,7504.0,575180.0
113,Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,18441.0,11880.0,9433.0,906.0,80551.0
114,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,1428.0,25344.0,12729.0,698.0,53037.0
115,Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,4079.0,58008.0,18815.0,908.0,53597.0
116,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,45059.0,29031.0,40374.0,2215.0,111763.0
117,Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,3400.0,3994.0,15602.0,1956.0,70513.0
118,Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,10336.0,6577.0,34897.0,,63666.0
119,Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,35072.0,328786.0,71129.0,6130.0,285402.0
120,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,11446.0,54934.0,85543.0,1754.0,113981.0
121,Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,2904.0,1923.0,9713.0,481.0,66757.0
122,Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,2772.0,4013.0,47446.0,,72180.0
123,North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,20273.0,54093.0,94804.0,4739.0,137357.0
124,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,6228.0,9851.0,17104.0,2993.0,66004.0
125,Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,11227.0,3391.0,121196.0,2855.0,95283.0
126,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,3871.0,25327.0,2738.0,1602.0,90935.0
127,Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,8010.0,2325.0,6966.0,2056.0,74183.0
128,Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,5652.0,7561.0,16786.0,6547.0,82033.0
129,Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,6088.0,2951.0,1685.0,549.0,59683.0
130,Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,14398.0,5631.0,73793.0,3151.0,120781.0
131,Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,5500.0,33122.0,28923.0,2301.0,107148.0
132,Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,15778.0,420983.0,46621.0,4127.0,202961.0
133,Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,,PR,,,76349.0,624.0,
134,Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,4791.0,17263.0,19703.0,438.0,124270.0
135,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,16856.0,5241.0,32810.0,2120.0,58041.0
136,Champaign,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,11746.0,16163.0,4015.0,,58099.0
137,West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,3191.0,39226.0,26132.0,406.0,60648.0
138,Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,10538.0,3100.0,15452.0,905.0,80975.0
139,Ogden,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,1911.0,2620.0,28275.0,1717.0,74960.0
140,Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,1343.0,17939.0,1709.0,265.0,56231.0
141,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,1089.0,38653.0,23225.0,2138.0,67360.0
142,Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,9685.0,4147.0,10511.0,655.0,73977.0
143,Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,10882.0,7520.0,23184.0,4541.0,149863.0
144,Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,4646.0,6477.0,3567.0,3102.0,107349.0
145,El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,4561.0,7534.0,31542.0,1891.0,84703.0
146,Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,8654.0,36007.0,57423.0,2186.0,110311.0
147,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,1193.0,44182.0,5516.0,414.0,23743.0
148,Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,12084.0,65840.0,46767.0,,58914.0
149,Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,3582.0,15159.0,23317.0,726.0,60793.0
150,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,9975.0,1222.0,2742.0,,66285.0
151,Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,308.0,16388.0,19342.0,904.0,46667.0
152,Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,4496.0,37339.0,56753.0,2564.0,98597.0
153,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,5561.0,3407.0,5139.0,835.0,64674.0
154,Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,24289.0,11273.0,5924.0,826.0,48414.0
155,Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,1486.0,1600.0,22066.0,2167.0,80776.0
156,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,12264.0,8054.0,2811.0,,112743.0
157,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,26909.0,30914.0,25764.0,5549.0,149859.0
158,Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,4304.0,6896.0,11962.0,558.0,100108.0
159,Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,17123.0,10685.0,10104.0,1264.0,161153.0
160,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,1193.0,2865.0,76425.0,964.0,30824.0
161,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,4130.0,3697.0,36687.0,128.0,61021.0
162,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,2693.0,1809.0,6596.0,492.0,84625.0
163,Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,1437.0,43471.0,30613.0,98.0,37683.0
