port,portname,state,citystate
ALC,ALCAN,AK             ,alcanak
ANC,ANCHORAGE,AK         ,anchorageak
BAR,BAKER AAF - BAKER ISLAND,AK,bakeraaf-bakerislandak
DAC,DALTONS CACHE,AK     ,daltonscacheak
PIZ,DEW STATION PT LAY DEW,AK,dewstationptlaydewak
DTH,DUTCH HARBOR,AK      ,dutchharborak
EGL,EAGLE,AK             ,eagleak
FRB,FAIRBANKS,AK         ,fairbanksak
HOM,HOMER,AK                        ,homerak
HYD,HYDER,AK             ,hyderak
JUN,JUNEAU,AK            ,juneauak
5KE,KETCHIKAN,AK,ketchikanak
KET,KETCHIKAN,AK         ,ketchikanak
MOS,MOSES POINT INTERMEDIATE,AK,mosespointintermediateak
NIK,NIKISKI,AK           ,nikiskiak
NOM,NOM,AK               ,nomak
PKC,POKER CREEK,AK       ,pokercreekak
ORI,PORT LIONS SPB,AK,portlionsspbak
SKA,SKAGWAY,AK           ,skagwayak
SNP,ST. PAUL ISLAND,AK,st.paulislandak
TKI,TOKEEN,AK,tokeenak
WRA,WRANGELL,AK          ,wrangellak
HSV,MADISON COUNTY - HUNTSVILLE,AL,madisoncounty-huntsvilleal
MOB,MOBILE,AL            ,mobileal
LIA,LITTLE ROCK,AR (BPS),littlerockar(bps)
ROG,ROGERS ARPT,AR,rogersarptar
DOU,DOUGLAS,AZ           ,douglasaz
LUK,LUKEVILLE,AZ         ,lukevilleaz
MAP,MARIPOSA AZ           ,,
NAC,NACO,AZ              ,nacoaz
NOG,NOGALES,AZ           ,nogalesaz
PHO,PHOENIX,AZ           ,phoenixaz
POR,PORTAL,AZ,portalaz
SLU,SAN LUIS,AZ          ,sanluisaz
SAS,SASABE,AZ            ,sasabeaz
TUC,TUCSON,AZ            ,tucsonaz
YUI,YUMA,AZ               ,yumaaz
AND,ANDRADE,CA           ,andradeca
BUR,BURBANK,CA,burbankca
CAL,CALEXICO,CA          ,calexicoca
CAO,CAMPO,CA              ,campoca
FRE,FRESNO,CA            ,fresnoca
ICP,IMPERIAL COUNTY,CA   ,imperialcountyca
LNB,LONG BEACH,CA         ,longbeachca
LOS,LOS ANGELES,CA       ,losangelesca
BFL,MEADOWS FIELD - BAKERSFIELD,CA,meadowsfield-bakersfieldca
OAK,OAKLAND,CA  ,oaklandca
ONT,ONTARIO,CA,ontarioca
OTM,OTAY MESA,CA          ,otaymesaca
BLT,PACIFIC HWY. STATION,CA ,pacifichwy.stationca
PSP,PALM SPRINGS,CA,palmspringsca
SAC,SACRAMENTO,CA        ,sacramentoca
SLS,SALINAS,CA (BPS),salinasca(bps)
SDP,SAN DIEGO,CA,sandiegoca
SFR,SAN FRANCISCO,CA     ,sanfranciscoca
SNJ,SAN JOSE,CA          ,sanjoseca
SLO,SAN LUIS OBISPO,CA   ,sanluisobispoca
SLI,SAN LUIS OBISPO,CA (BPS),sanluisobispoca(bps)
SPC,SAN PEDRO,CA         ,sanpedroca
